keys,es,en
EV_48_DE_2,Ignorar la crítica y confiar en tu visión original.,Ignoring criticism and trusting your original vision.
EV_48_DE_3,Cagarse en sus muertos.,Shit on his death ones
EV_49_DE_1,Agradecer la oferta y trabajar en solitario.,Thanking for the offer but working alone.
EV_49_DE_2,Negociar una colaboración que respete ambas visiones.,Negotiating an agreemen that respects both perspectives.
EV_49_DE_3,"Seguro que él sabe más, así que seguiré su consejo.","Sure that he knows more, so let's following his advice."
EV_50_DE_1,Unirte al concurso y mostrar tus conocimientos en humor negro.,Joining the contest and showcasing your knowledge in dark humor.
EV_50_DE_2,Ignorar a esos idiotas y continuar con tu trabajo.,Ignoring those fools and continuing with your work.
EV_50_DE_3,Criticar el proyecto de otro participante como chiste malo.,Criticizing another participant's project as a bad joke.
EV_51_DE_1,Trabajar rápidamente para corregir el bug.,Working quickly to fix the bug.
EV_51_DE_2,Mantener el bug como una característica divertida para que todos vean lo genuinamente divertido que eres.,Keeping the bug as a funny feature for everyone to see how genuinely humorous you are.
EV_51_DE_3,Utilizar el bug como inspiración para agregar elementos humorísticos adicionales al juego.,Using the bug as inspiration to add additional humorous elements to the game.
EV_52_DE_1,Unirte a la sesión de yoga para despejar la mente.,Joining the yoga session to clear your mind.
EV_52_DE_2,Ignorar la invitación y concentrarte en tu trabajo.,Ignoring the invitation and focusing on your work.
EV_52_DE_3,Organizar una breve sesión de meditación para aquellos que prefieran algo más tranquilo.,Organizing a brief meditation session for those who prefer something more calm.
EV_53_DE_1,Trabajar para corregir el error antes de la presentación.,Working to fix the error before the presentation.
EV_53_DE_2,Integrar el efecto de rimas como una característica única.,Integrating rhyme effects as a unique feature.
EV_53_DE_3,"Con los dedos de las manos y los dedos de los pies, mis coj**** y mi p*** todo suman veintitrés.","Roses are red, violets are blue, this game for the jam, is a *******"
EV_54_DE_1,Participar en el desafío para refrescar tu mente.,Participating in the challenge to refresh your mind.
EV_54_DE_2,Seguir con tu juego.,Continuing with your game.
EV_54_DE_3,Pensar el acertijo más complejo posible para quedar como el genio vencedor del desafío.,Thinking of the most complex riddle possible to appear as the victorious genius of the challenge.
EV_55_DE_1,Unirte a la siesta para descansar.,Joining the nap to rest.
EV_55_DE_2,Ignorar la propuesta y trabajar en tu juego.,Ignoring the proposal and continue working on your game.
EV_55_DE_3,Organizar una actividad relajante alternativa para aquellos que prefieran no dormir.,Organizing an alternative relaxing activity for those who prefer not to sleep.
EV_56_DE_1,Aprovechar la oferta para mejorar tu juego.,Taking advantage of the offer to improve your game.
EV_56_DE_2,Ignorar la oferta y confiar en tu trabajo.,Ignoring the offer and trusting in your work.
EV_56_DE_3,Compartir la oferta con otros participantes para impulsar la creatividad en general.,Sharing the offer with other participants to boost overall creativity.
EV_57_DE_1,¿Y si esa mecánica era obligatoria y no te has dado cuenta? Mejor implementarla.,"What if that mechanic was mandatory, and you didn't realize it? Better to implement it."
EV_57_DE_2,La originalidad brilla por su ausencia. Seguir con tus mismas mecánicas.,Originality is lacking. Continuing with your main mechanics.
EV_57_DE_3,Añadir la mecánica aunque no tenga cabida en tu juego.,Adding the mechanic even if it doesn't fit into your game.
EV_58_DE_1,Pagar la fórmula y aplicarla a tu juego.,Paying for the formula and applying it to your game.
EV_58_DE_2,Ignorar la revelación y confiar en tu propio proceso creativo.,Ignoring the revelation and trusting your own creative process.
EV_58_DE_3,Organizar un taller para compartir otros métodos creativos (y gratuitos) entre los participantes.,Organizing a workshop to share other creative (and free) methods among participants.
EV_59_DE_1,Participar en la discusión y tratar de mediar.,Participating in the discussion and trying to mediate.
EV_59_DE_2,Ignorar la discusión y enfocarte en tu proyecto.,Ignoring the discussion and focusing on your project.
EV_59_DE_3,Imponer con condescendencia tu opinión y verdad absoluta.,Imposing your opinion and absolute truth condescendingly.
EV_60_DE_1,Modificar tu juego para incluir todos los gatos posibles.,Modifying your game to include all possible cats.
EV_60_DE_2,Sin problema. Tu juego estaba protagonizado por gatos. De hecho está creado por gatos.,"No problem. Your game was starring cats. In fact, it's created by cats."
EV_60_DE_3,Los gatos te dan tanta alergia que solo pensar en ello estornudo como un loco. Ignorar el rumor.,Cats give you so much allergy that just thinking about it makes me sneeze like crazy. Ignoring the rumor.
EV_61_DE_1,Refinar la narrativa de tu juego para que sea el elemento que más destaque.,Refining the narrative of your game to make it the standout element.
EV_61_DE_2,Ignorar el anuncio y seguir con tu plan original de desarrollo.,Ignoring the announcement and sticking to your original development plan.
EV_61_DE_3,Organizar una sesión de intercambio de consejos sobre narrativa entre los participantes.,Organizing a session to exchange narrative advice among participants.
EV_62_DE_1,Participar en la sesión.,Participating in the session.
EV_62_DE_2,Ignorar la actividad.,Ignoring the activity.
EV_62_DE_3,Preparar una presentación a ritmo de hip-hop underground de los 90.,Preparing a presentation with a 90s underground hip-hop rhythm.
EV_63_DE_1,Aceptar los consejos y aplicar ajustes según la retroalimentación recibida.,Accepting advice and making adjustments based on received feedback.
EV_63_DE_2,Ignorar la oferta y confiar en tu visión original.,Ignoring the offer and trusting your original vision.
EV_63_DE_3,Darle tú consejos al experto.,Giving advice to the expert.
EV_64_DE_1,Colaborar con el participante para integrar el sistema de logros en tu juego.,Collaborating with the participant to integrate the achievements system into your game.
EV_64_DE_2,Felicitarle y seguir con lo tuyo.,Congratulating him and continuing with your work.
EV_64_DE_3,Plagiar descarademente la mecánica.,Blatantly plagiarizing the mechanic.
EV_65_DE_1,Aprovechar la lluvia de inspiración para mejorar aspectos de tu juego.,Taking advantage of the inspiration to improve aspects of your game.
EV_65_DE_2,Ignorar la fiebre inspiracional y seguir con lo tuyo.,Ignoring the inspirational fever and sticking to your work.
EV_65_DE_3,Organizar una sesión de intercambio de ideas.,Organizing an idea exchange session.
EV_66_DE_1,Aceptar el desafío y agregar un acertijo ingenioso a tu juego.,Accepting the challenge and adding a clever riddle to your game.
EV_66_DE_2,"Pensar acertijos se te da peor incluso que resolverlos, así que mejor obviar el desafío.","Thinking up riddles is even worse for you than solving them, so better to skip the challenge."
EV_66_DE_3,Agregar un acertijo imposible de resolver.,Adding an impossible-to-solve riddle.
EV_67_DE_1,Utilizar el generador de nombres para obtener inspiración para el título de tu juego.,Using the name generator for inspiration for your game's title.
EV_67_DE_2,Ignorar la sugerencia. Se te ha ocurrido un nombre buenísimo. O eso dice tu madre.,Ignoring the suggestion. You've come up with a great name. Or so your grandma says.
EV_67_DE_3,No me fio ni un pelo. Seguro que es un virus.,I don't trust it one bit. It's probably a virus.
EV_68_DE_1,Probar si también sabe como un pollo frito.,Testing if it tastes like fried chicken.
EV_68_DE_2,Parar para comer algo.,Stopping to eat something.
EV_68_DE_3,Ignorar que tu estómago se ha convertido en un agujero negro y seguir trabajando.,Ignoring that your stomach has become a black hole and continuing to work.
EV_69_DE_1,Pongo la palabra 'Libro' en el título y ya está.,Putting the word 'fee' in the title and that's it.
EV_69_DE_2,Rehago todo el juego para adaptarme al tema.,Revamping the entire game to fit the theme.
EV_69_DE_3,"Intento adaptar como puedo mi juego a ese tema, aunque sea un completo sinsentido.","Trying to adapt your game to that theme, even if it's complete nonsense."
EV_70_DE_1,Participar en la sesión para un descanso mental.,Participating in the session for a mental break.
EV_70_DE_2,Mejor que no. Este mes ya te has apuntado al curso de Llados.,"Better not. This month, you've already signed up for a cryptobro's course."
EV_70_DE_3,Ignorar la propuesta. El mindfulness es tan real como el horóscopo.,Ignoring the proposal. Mindfulness is as real as the horoscope.
EV_71_DE_1,Ponerte a trabajar como un loco para recuperar el tiempo perdido.,Working like crazy to make up for lost time.
EV_71_DE_2,"Vaya pregunta más absurda, evidentemente sobreviviría.","What an absurd question, obviously, you would survive."
EV_71_DE_3,En un apocalipsis zombi estoy tan muerto como mi juego en la jam.,"In a zombie apocalypse, you're as dead as your game in the jam."
EV_72_DE_1,Imposible. El proyecto es lo primero.,Impossible. The project comes first.
EV_72_DE_2,Decirle que 'ahora vas' (e ir seis horas más tarde).,Telling him to 'go now' (and going six hours later).
EV_72_DE_3,Tu deber como hermano mayor es ayudar a tu mono a superar cualquier desafío. Por supuesto que vas.,"Your duty as an older brother is to help your monkey overcome any challenge. Of course, you're going."
EV_73_DE_1,Participar en la sesión para mejorar la accesibilidad de tu juego.,Participating in the session to improve your game's accessibility.
EV_73_DE_2,Ignorar la actividad y centrarte en otros aspectos de desarrollo.,Ignoring the activity and focusing on other development aspects.
EV_73_DE_3,"Pedirle a tu hermano que pruebe tu juego. Si él puede, cualquiera puede.","Asking your brother to try your game. If he can, anyone can."
EV_74_DE_1,Es mejor bajar de las nubes y seguir centrado en la jam.,It's better to come down to earth and stay focused on the jam.
EV_74_DE_2,Tu juego puede ser la gallina de los huevos de oro. Ignorar la jam y centrarte en él el tiempo que haga falta.,Your game could be the golden goose. Ignoring the jam and focusing on it as long as necessary.
EV_74_DE_3,Ambos puntos pueden ser compatibles. Presentar un producto mínimo viable para la jam y seguir con el juego después.,Both points can be compatible. Presenting a minimum viable product for the jam and continuing with the game afterward.
EV_75_DE_1,Reforzar la seguridad del juego.,Strengthening the game's security.
EV_75_DE_2,Ignorar el mensaje y asumir que es spam.,Ignoring the message and assuming it's spam.
EV_75_DE_3,Rastrear la dirección IP del remitente para hackearle a él.,Tracking the sender's IP address to hack him.
EV_76_DE_1,Buscar una linterna y velas.,Finding a flashlight and candles.
EV_76_DE_2,Esperar unos minutos a ver si vuelve la electricidad.,Waiting a few minutes to see if the electricity comes back.
EV_76_DE_3,"Continuar trabajando a ciegas, confiando en la batería de tu ordenador portátil.","Continuing to work blindly, trusting your laptop's battery."
EV_77_DE_1,Priorizar la corrección del bug antes que cualquier otra tarea.,Prioritizing bug correction over any other task.
EV_77_DE_2,Dejar el bug para después y seguir trabajando en nuevas características.,Putting the bug off until later and continuing to work on new features.
EV_77_DE_3,Hacer una copia de seguridad y experimentar con soluciones sin detener el trabajo principal.,Backing up and experimenting with solutions without stopping the main work.
EV_78_DE_1,Aceptar la invitación y tomarte un descanso.,Accepting the invitation and taking a break.
EV_78_DE_2,Responder que solo puedes salir después de terminar una tarea importante.,Saying you can only go out after finishing an important task.
EV_78_DE_3,Ya saldrás cuando seas millonario y tengas una penthouse en Dubai.,You'll go out when you're a millionaire and have a penthouse in Dubai.
EV_79_DE_1,Hacer una pausa para preparar una cafetera.,Taking a break to prepare a coffee.
EV_79_DE_2,Continuar trabajando sin café.,Continuing to work without coffee.
EV_79_DE_3,Sustituir la cafeína por cocaína.,Replacing caffeine with cocaine.
EV_80_DE_1,Aceptar la colaboración y trabajar juntos en SU juego.,Accepting the collaboration and working together on HIS game.
EV_80_DE_2,Rechazar la oferta y seguir trabajando en solitario.,Declining the offer and continuing to work alone.
EV_80_DE_3,Aceptar la colaboración y trabajar juntos en TU juego.,Accepting the collaboration and working together on YOUR game.
